labelx,text,label,stem
umum,Apa sebenarnya wisata halal itu?,8,wisata halal
belanja,Apa pusat perbelanjaan yang terkenal di Bukittinggi?,2,pusat belanja kenal bukittinggi
rekomendasi,Tempat wisata halal favorit di Sumatera Barat apa saja?,6,wisata halal favorit sumatera barat
budaya,Apa saja kegiatan budaya yang bisa diikuti oleh anak-anak di Sumatera Barat?,3,giat budaya ikut anak anak sumatera barat
umum,Apa yang dimaksud dengan layanan halal dalam pariwisata?,8,layan halal pariwisata
aktivitas,Aktivitas halal favorit di Sumatera Barat apa saja?,1,aktivitas halal favorit sumatera barat
rekomendasi,Dimana saya bisa menemukan atraksi wisata halal di Sumatera Barat?,6,mana temu atraksi wisata halal sumatera barat
transportasi,Apa rekomendasi transportasi untuk perjalanan di Sumatera Barat?,7,rekomendasi transportasi jalan sumatera barat
umum,Apa yang dimaksud dengan industri wisata halal?,8,industri wisata halal
umum,Apa yang dimaksud dengan liburan halal?,8,libur halal
transportasi,Apa transportasi paling populer di Sumatera Barat?,7,transportasi populer sumatera barat
budaya,Apakah ada festival budaya yang menjadi pusat perhatian di Sumatera Barat?,3,festival budaya pusat perhati sumatera barat
belanja,"Apa saja pusat perbelanjaan di Padang, Sumatera Barat?",2,pusat belanja padang sumatera barat
transportasi,Apa pilihan angkutan yang terbaik di Sumatera Barat?,7,pilih angkut baik sumatera barat
aktivitas,Bisakah Anda menyarankan aktivitas halal di Sumatera Barat?,1,saran aktivitas halal sumatera barat
budaya,Apa saja tempat untuk melihat pertunjukan teater di Sumatera Barat?,3,tunjuk teater sumatera barat
transportasi,Bagaimana cara menuju Sumatera Barat dengan bus?,7,sumatera barat bus
akomodasi,Bagaimana cara menemukan homestay yang memperhatikan kebutuhan agama Islam di Sumatera Barat?,0,temu homestay perhati butuh agama islam sumatera barat
akomodasi,Apakah ada informasi tentang guesthouse yang cocok dengan praktik Islam di Sumatera Barat?,0,informasi guesthouse cocok praktik islam sumatera barat
umum,Apa yang Anda ketahui tentang wisata halal?,8,tahu wisata halal
rekomendasi,Bisakah Anda menyarankan tempat wisata halal di Sumatera Barat?,6,saran wisata halal sumatera barat
aktivitas,Rekomendasi aktivitas halal untuk keluarga di Sumatera Barat?,1,rekomendasi aktivitas halal keluarga sumatera barat
paket,Apa saja paket wisata seni dan budaya di Sumatera Barat?,5,paket wisata seni budaya sumatera barat
kuliner,Bisakah Anda memberikan rekomendasi kuliner halal di Sumatera Barat?,4,rekomendasi kuliner halal sumatera barat
budaya,Bagaimana tradisi pembuatan kerajinan tangan tradisional di Sumatera Barat dipelihara?,3,tradisi buat rajin tangan tradisional sumatera barat pelihara
kuliner,Kuliner halal apa yang disarankan di Sumatera Barat?,4,kuliner halal saran sumatera barat
umum,Apa yang dimaksud dengan wisata halal dalam konteks pariwisata?,8,wisata halal konteks pariwisata
belanja,Apa saja pusat perbelanjaan di Pariaman?,2,pusat belanja pariaman
paket,Apa saja paket wisata petualangan di Sumatera Barat?,5,paket wisata tualang sumatera barat
